names,scores,logfoldchanges,pvals,pvals_adj,group
RPL3,8.569454,,1.0397655222604536e-17,2.875713280738434e-16,deeper
B3GNT7,8.541895,41.16107,1.3203828924023113e-17,3.628713035056529e-16,deeper
S100B,8.540946,690.155,1.3312762874284193e-17,3.654025218250115e-16,deeper
TRABD,8.492595,82.01605,2.0207409817420597e-17,5.470362525511453e-16,deeper
NYNRIN,8.484786,40.120056,2.1611570323742478e-17,5.828680786320161e-16,deeper
BLNK,8.484143,81.68441,2.1731407823647926e-17,5.853729469717372e-16,deeper
AK128525,8.467853,inf,2.499583708726887e-17,6.691548939601658e-16,deeper
CTSW,8.439987,186.51108,3.1737260591887125e-17,8.454572573134495e-16,deeper
C1ORF56,8.429331,69.44854,3.476472740565721e-17,9.204597520783217e-16,deeper
SLC38A1,8.4225025,79.199936,3.685271481405885e-17,9.745545570377973e-16,deeper
RPL13A,8.389155,,4.896461099674382e-17,1.283901774577663e-15,deeper
SLC7A5,8.28786,31.138428,1.153040699193892e-16,2.966074244099359e-15,deeper
HNRNPA0,8.236263,18.83084,1.7767299299102185e-16,4.495872203762326e-15,deeper
RPL34,8.230475,inf,1.864715068372442e-16,4.707538238306289e-15,deeper
MCM7,8.223035,128.04384,1.984174686509462e-16,4.991705286072646e-15,deeper
PEBP1,8.21489,150.6481,2.1235994736020068e-16,5.3301119273263774e-15,deeper
C20ORF112,8.186013,89.82224,2.700216632600534e-16,6.699931806901736e-15,deeper
PRRC2A,8.179246,28.420929,2.856252683734628e-16,7.070935235639966e-15,deeper
ILF3,8.165589,71.54876,3.198707405536456e-16,7.88276237021589e-15,deeper
CD5,8.163016,58.028366,3.267591664259099e-16,8.04338805246364e-15,deeper
SPOCK2,8.096967,18.033419,5.634661017548767e-16,1.3622953825389896e-14,deeper
FPGS,8.0719795,59.2094,6.916755291013388e-16,1.6648522630065592e-14,deeper
RPS7,8.048707,,8.367319772375926e-16,2.0095451280758158e-14,deeper
USP22,8.046992,30.596575,8.485348737183999e-16,2.0356398500884177e-14,deeper
CCND2,7.9926085,30.887516,1.3211285778526324e-15,3.1109568930323755e-14,deeper
TCF4,7.9715104,12.50064,1.567463906519957e-15,3.675076552316932e-14,deeper
TUBB,7.9449005,inf,1.943464616741481e-15,4.5176188751685533e-14,deeper
IRF2BP2,7.9191785,40.610786,2.3908451666335703e-15,5.522089299232068e-14,deeper
BAIAP2,7.9114623,59.8099,2.5438334957510846e-15,5.86919968398e-14,deeper
BC014119,7.760774,168.00476,8.4412416084634e-15,1.8932623611709595e-13,deeper
OPHN1,7.743412,33.218517,9.678379150800223e-15,2.162324332888884e-13,deeper
